sen1	sen2	src	score
개가 스케이트보드를 탄다.	개가 스케이트보드를 타고 있다.	main-captions	5.000
누군가가 동상을 조각하고 있다.	한 남자가 조각상을 조각하고 있다.	main-captions	3.750
한 여성이 양파를 자르고 있다.	남자가 양파를 자르고 있다.	main-captions	2.750
여자는 새우 껍질을 벗긴다.	한 여성이 새우 껍질을 벗기고 있다.	main-captions	5.000
한 여성이 생선 튀김을 하고 있다.	한 여성이 생선을 요리하고 있다.	main-captions	4.000
한 여성이 일렉트릭 기타를 연주하고 있다.	한 여성이 기타를 치고 있다.	main-captions	3.600
새끼 호랑이가 공을 가지고 놀고 있다.	아기가 인형을 가지고 놀고 있다.	main-captions	1.600
사람이 토마토를 자르고 있다.	사람이 고기를 썰고 있다.	main-captions	1.750
사람이 양파를 잘랐다.	사람이 양파를 자르고 있다.	main-captions	5.000
한 남자가 피아노를 치고 있다.	한 여성이 바이올린을 연주하고 있다.	main-captions	1.000
한 여성이 플루트를 연주하고 있다.	남자가 기타를 치고 있다.	main-captions	1.000
남자가 감자를 자르고 있다.	남자가 당근을 자르고 있다.	main-captions	2.375
한 아이가 기타를 치고 있다.	한 소년이 기타를 치고 있다.	main-captions	3.800
한 소년이 기타를 치고 있다.	남자가 기타를 치고 있다.	main-captions	3.200
남자가 기타를 치고 있다.	한 소년이 기타를 치고 있다.	main-captions	3.200
어린 소년이 키보드를 연주하고 있다.	한 소년이 키보드를 하고 있다.	main-captions	4.400
남자가 기타를 치고 있다.	한 남자가 일렉트릭 기타를 연주하고 있다.	main-captions	3.750
개가 아기를 핥는다.	개가 아기를 핥고 있다.	main-captions	4.750
한 여성이 양파를 자르고 있다.	남자가 양파를 자르고 있다.	main-captions	3.200
남자가 기타를 치고 있다.	남자가 드럼을 치고 있다.	main-captions	1.556
여자가 후추를 썰고 있다.	여자가 고추를 자르고 있다.	main-captions	3.938
남자가 드럼을 치고 있다.	남자가 드럼을 연주한다.	main-captions	5.000
여자가 말을 탄다.	여자가 말을 타고 있다.	main-captions	5.000
남자가 나무 옆에서 바나나를 먹고 있다.	한 남자가 바나나를 먹고 있다.	main-captions	4.000
고양이가 키보드를 연주하고 있다.	한 남자가 두 개의 키보드를 연주하고 있다.	main-captions	1.600
한 남자가 도끼로 나무를 베다.	한 남자가 도끼로 나무를 베었다.	main-captions	4.750
한 아이가 장난감 전화기로 놀고 있다.	한 어린 소년이 장난감 전화기로 놀고 있다.	main-captions	3.500
한 남자가 오토바이를 타고 있다.	남자가 말을 타고 있다.	main-captions	1.400
다람쥐가 원을 그리며 빙빙 돌고 있다.	다람쥐가 원을 그리며 돌고 있다.	main-captions	4.000
남자와 여자가 키스하고 있다.	남자와 여자의 키스...	main-captions	5.000
한 남자가 차에 타고 있다.	한 남자가 차고에서 차에 타고 있다.	main-captions	3.833
남자가 춤을 추고 있다.	남자가 말하고 있다.	main-captions	0.600
한 남자가 기타를 치고 노래를 부르고 있다.	남자가 기타를 치고 있다.	main-captions	2.917
사람이 버섯을 자르고 있다.	사람이 칼로 버섯을 자르고 있다.	main-captions	4.200
호랑이 새끼가 소리를 내고 있다.	호랑이가 주위를 돌아다니고 있다.	main-captions	2.000
사람이 양파를 자르고 있다.	사람이 양파 껍질을 벗기고 있다.	main-captions	2.600
한 남자가 피아노를 치고 있다.	남자가 트럼펫을 연주하고 있다.	main-captions	1.600
한 여성이 감자 껍질을 벗기고 있다.	여자가 사과 껍질을 벗기고 있다.	main-captions	2.000
판카가 대나무를 먹고 있다.	판다 곰이 대나무를 먹고 있다.	main-captions	4.200
사람이 양파 껍질을 벗기고 있다.	사람이 가지를 껍질을 벗기고 있다.	main-captions	2.000
원숭이는 다른 원숭이를 밀고 갑니다.	원숭이가 다른 원숭이를 밀었다.	main-captions	4.800
다람쥐가 원을 그리며 돌고 있다.	다람쥐가 원을 그리며 움직이고 있다.	main-captions	4.400
남자가 신발끈을 묶고 있다.	남자가 신발 끈을 묶는다.	main-captions	5.000
한 소년이 노래를 부르고 피아노를 치고 있다.	한 소년이 피아노를 치고 있다.	main-captions	3.000
개가 물 멜론을 먹고 있다.	개가 수박 한 조각을 먹고 있다.	main-captions	4.250
한 여성이 브로콜리를 자르고 있다.	한 여성이 칼로 브로콜리를 자르고 있다.	main-captions	4.250
남자가 감자 껍질을 벗기고 있다.	한 남자가 감자 껍질을 벗겼다.	main-captions	3.800
한 여성이 기타를 치고 있다.	남자가 기타를 연주한다.	main-captions	2.400
한 여성이 토마토를 자르고 있다.	남자가 양파를 썰고 있다.	main-captions	1.600
한 남자가 수중에서 수영을 한다.	한 여성이 물속에서 수영하고 있다.	main-captions	2.000
남자와 여자가 이야기를 하고 있다.	한 남자와 여자가 먹고 있다.	main-captions	1.600
작은 개가 요가공을 쫓고 있다.	개가 공을 쫓고 있다.	main-captions	4.000
남자들이 크리켓을 하고 있다.	남자들이 농구를 하고 있다.	main-captions	2.200
한 남자가 오토바이를 타고 떠난다.	한 남자가 오토바이를 타고 있다.	main-captions	4.400
남자가 기타를 치고 있다.	한 남자가 기타를 부르고 연주하고 있다.	main-captions	3.600
그 남자는 전화로 말했다.	남자가 전화로 말하고 있다.	main-captions	3.600
남자가 낚시를 하고 있다.	남자가 운동을 하고 있다.	main-captions	0.500
남자가 공중 부양하고 있다.	남자가 말하고 있다.	main-captions	0.800
두 소년이 운전을 하고 있다.	두 개의 만이 춤추고 있다.	main-captions	0.600
남자가 말을 타고 있다.	한 소녀가 말을 타고 있다.	main-captions	2.600
한 남자가 자전거를 타고 있다.	원숭이가 자전거를 타고 있다.	main-captions	2.000
한 남자가 감자를 썰고 있다.	한 여성이 감자 껍질을 벗기고 있다.	main-captions	2.200
한 여성이 감자 껍질을 벗기고 있다.	남자가 감자를 자르고 있다.	main-captions	2.400
남자가 기타를 치고 있다.	소뇌는 기타를 치고 있다.	main-captions	3.600
한 여성이 부추를 자르고 있다.	한 여성이 생강을 썰고 있다.	main-captions	2.200
남자가 종이 접시를 잘랐다.	남자가 종이 접시를 자르고 있다.	main-captions	4.800
남자가 기타를 연주하고 있다.	남자가 플루트를 연주하고 있다.	main-captions	1.643
한 남자가 피아노를 치고 있다.	남자가 바이올린을 연주하고 있다.	main-captions	1.750
한 여성이 고기를 썰고 있다.	여자가 고기를 구우고 있다.	main-captions	2.250
한 남자가 키보드를 가지고 놀고 있다.	한 남자가 키보드 피아노를 연주하고 있다.	main-captions	4.000
그 숙녀는 양파를 잘랐다.	그 여자는 양파를 잘랐다.	main-captions	4.800
누군가가 물속에 국수를 넣고 있다.	한 여성이 물 속에서 국수를 끓이고 있다.	main-captions	3.200
라이오넬 리치가 천장에서 춤을 추고 있다.	라이오넬 리치는 천장에 서서 춤을 춘다.	main-captions	4.000
남자가 피아노를 치고 있다.	사람이 피아노를 치고 있다.	main-captions	4.400
한 여성이 플루트를 연주하고 있다.	한 여성이 플루트를 연주한다.	main-captions	4.600
소년이 달력을 확인하고 있다.	소년이 달력을 보고 있다.	main-captions	3.800
여자가 양파를 자르고 있다.	여자가 양파를 잘랐다.	main-captions	4.800
남자가 기타를 치고 있다.	남자가 기타를 연주한다.	main-captions	4.857
한 여성이 재봉틀을 사용하고 있다.	한 여성이 기계에 바느질하고 있다.	main-captions	5.000
한 여성이 팬케이크를 뒤집고 있다.	만화 요리사가 팬케이크를 뒤집고 있다.	main-captions	2.533
한 남자가 도로를 달리고 있다.	차가 도로를 따라 운전하고 있다.	main-captions	1.000
남자가 말을 타고 있다.	한 남자가 전화로 말하고 있다.	main-captions	1.000
남자가 자전거를 타고 있다.	남자가 말을 타고 있다.	main-captions	2.000
여자가 춤을 추고 있다.	남자가 먹고 있다.	main-captions	0.143
남자가 피아노를 치고 있다.	남자가 플루트를 연주하고 있다.	main-captions	2.000
남자가 플루트를 연주하고 있다.	남자가 피아노를 치고 있다.	main-captions	1.600
남자가 빙글빙글 돌고 있다.	남자가 춤을 추고 있다.	main-captions	1.600
원숭이가 사지에서 사지로 흔들리고 있다.	원숭이가 나무에서 나무로 흔들리고 있다.	main-captions	3.400
사람들이 기차에서 내렸다.	사람들은 역에서 기차에서 내렸다.	main-captions	4.000
개가 트램폴린을 타고 뛰어오르고 있다.	개 한 마리가 트램폴린을 타고 튕겨 나온다.	main-captions	4.800
한 소년이 악기를 연주하고 있다.	남자가 트럼펫을 연주하고 있다.	main-captions	2.500
한 여성이 기타를 연주한다.	한 남자가 기타를 부르고 연주한다.	main-captions	1.750
여자가 캔을 따고 있다.	한 여성이 토마토를 자르고 있다.	main-captions	1.000
남자가 밧줄을 타고 올라가고 있다.	한 남자가 밧줄을 타고 올라간다.	main-captions	5.000
남자가 차를 들어 올리고 있다.	한 남자가 벽을 오르고 있다.	main-captions	1.400
한 남자와 여자가 지프를 타고 거리를 운전하고 있다.	한 남자와 여자가 야외 차량을 타고 길을 따라 운전하고 있다.	main-captions	4.000
셔츠를 벗은 남자는 의자에 앉아 있었다.	셔츠를 벗은 남자가 의자에 앉아 있다.	main-captions	3.800
두 여자가 레슬링을 하고 있다.	두 여자가 바닥에서 씨름하고 있다.	main-captions	4.000
강아지는 파란 테니스 공으로 경기를 했다.	강아지가 테니스 공을 가지고 놀고 있다.	main-captions	4.000
캥거루가 뭔가를 먹고 있다.	캥거루가 먹고 있다.	main-captions	4.800
고양이가 피아노를 치고 있다.	남자가 기타를 치고 있다.	main-captions	0.600
남자가 칼로 카펫을 베었다.	남자가 칼로 카펫을 자르고 있다.	main-captions	4.750
한 여성이 전동 스쿠터를 타고 길을 따라 내려간다.	남자가 모터 스쿠터를 타고 있다.	main-captions	2.200
누군가가 야채를 자르고 있다.	누군가가 토마토를 자르고 있다.	main-captions	3.000
여자가 춤을 추고 있다.	남자가 말하고 있다.	main-captions	0.000
개가 아기의 침을 핥는다.	개가 아기를 핥는다.	main-captions	2.200
남자가 보트를 노를 저고 있다.	한 남자가 토마토를 자르고 있다.	main-captions	0.400
한 남자가 감자를 잘라낸다.	한 남자가 감자를 썰다.	main-captions	4.800
한 여성이 마늘을 잘게 자르고 있다.	여자가 마늘을 썰고 있다.	main-captions	4.800
동물이 원을 그리며 달리고 있다.	다람쥐가 원을 그리며 달린다.	main-captions	3.800
한 남자가 밧줄 다리를 천천히 건너고 있다.	한 소년이 다리를 건너고 있다.	main-captions	3.000
남자가 기타를 치고 있다.	방에 앉아 있는 한 남자가 기타를 치고 있다.	main-captions	4.000
한 남자가 플루트를 연주한다.	남자가 플루트를 연주하고 있다.	main-captions	5.000
한 여성이 달걀 두 개를 유리 그릇에 찢는다.	여자가 달걀을 그릇에 깨고 있다.	main-captions	3.800
남자가 생선을 자르고 있다.	남자는 물고기를 내장으로 찔러 낸다.	main-captions	3.000
두 남자가 여행 가방을 차 트렁크에 넣고 있다.	남자들이 차 트렁크에 여행 가방을 넣고 있다.	main-captions	4.400
어떤 남자는 토마토에 기름을 붓는다.	남자는 잘린 토마토에 기름을 부었다.	main-captions	3.800
남자가 무언가를 자르고 있다.	남자가 빵을 자르고 있다.	main-captions	3.000
남자가 카누를 노를 저고 있다.	남자가 하프를 연주하고 있다.	main-captions	0.667
한 남자와 여자가 숲을 함께 걷고 있다.	한 남자와 여자가 숲이 우거진 지역을 팔짱을 끼고 걷고 있다.	main-captions	4.000
그 여자는 캥거루를 집어 들었다.	한 여성이 아기 캥거루를 집어 든다.	main-captions	3.750
물고기가 수영하고 있다.	물고기가 수영을 하고 있다.	main-captions	4.133
두 명의 여성이 음식물 처리기에 뭔가를 섞는다.	두 여자가 믹서기로 뭔가를 만든다.	main-captions	4.000
사람이 큰 파도를 타고 있다.	사람이 서핑을 하고 있다.	main-captions	3.600
남자가 기타를 치고 있다.	남자가 목표물을 찌르고 있다.	main-captions	1.200
한 남자가 밴드에서 플루트를 연주하고 있다.	남자가 기타를 치고 있다.	main-captions	1.600
그 남자는 빵 덩어리에 버터를 뿌렸다.	한 남자가 빵에 버터를 바르고 있다.	main-captions	4.000
사람이 국수를 끓이고 있다.	한 여성이 물 속에서 국수를 끓이고 있다.	main-captions	4.000
한 무리의 사람들이 언덕에서 춤을 춘다.	한 무리의 사람들이 춤을 추고 있다.	main-captions	3.200
한 남자가 밖에서 춤을 추고 있다.	남자가 플루트를 연주하고 있다.	main-captions	1.000
여자가 남자에게 먹이를 주고 있다.	한 여성이 고기를 섞고 있다.	main-captions	1.000
한 남자가 오븐에 팬을 넣고 있다.	여자가 양파를 자르고 있다.	main-captions	0.600
한 여성이 책상에 앉아 있다.	여자가 당나귀를 타고 있다.	main-captions	0.400
의료진은 환자를 들것에 실어 운반한다.	의사가 환자를 들것에 싣고 달려간다.	main-captions	3.400
한 여성이 무대에서 플루트를 연주하고 있다.	여자가 플루트를 연주하고 있다.	main-captions	3.600
두 마리의 아기 판다가 놀고 있다.	두 개의 판다가 함께 누워 있다.	main-captions	3.000
아기가 웃고 있다.	아기가 웃고 낄낄거리고 있다.	main-captions	4.000
남자가 기타를 치고 있다.	한 소년이 피아노를 치고 있다.	main-captions	1.200
남자가 종이를 접고 있다.	여자가 후추를 썰고 있다.	main-captions	0.600
세 명의 여성이 춤을 추고 있다.	남자가 춤을 추고 있다.	main-captions	1.600
고양이들이 서로 놀고 있다.	두 마리의 고양이가 서로 싸우고 있다.	main-captions	2.600
사람이 글을 쓰고 있다.	사람이 연필로 글을 쓰고 있다.	main-captions	3.600
남자가 달리고 있다.	한 남자가 길을 달리고 있다.	main-captions	3.500
여자가 반죽을 굴리고 있다.	한 여성이 밀가루를 뿌리고 반죽을 굴리고 있다.	main-captions	3.765
한 여성이 고기에 향신료를 첨가하고 있다.	여자가 고기에 설탕을 첨가하고 있다.	main-captions	2.750
한 여성이 생선에 기름을 첨가하고 있다.	한 여성이 생선에 물을 붓고 있다.	main-captions	2.250
어린 소년이 기타를 들고 있다.	어린 소년이 기타를 치고 있다.	main-captions	2.750
치타가 달리고 있다.	치타가 들판을 가로질러 달리고 있다.	main-captions	3.800
남자가 피자를 먹고 있다.	한 남자가 피자 한 조각을 먹고 있다.	main-captions	4.800
오랑우탄이 버스를 타고 있다.	원숭이가 버스를 타고 있다.	main-captions	3.600
남자와 여자는 식당에서 이야기를 한다.	남자와 여자가 자전거를 타고 있다.	main-captions	1.200
남자가 기타를 치고 있다.	남자가 유리문을 청소하고 있다.	main-captions	0.400
한 소녀가 노래를 부르고 기타를 치고 있다.	한 젊은이가 기타를 연주하면서 노래를 부르고 있다.	main-captions	2.400
한 소녀가 수화로 의사소통을 하고 있다.	한 어린 소녀가 수화를 사용하고 있다.	main-captions	3.941
여자가 체중 운동을 하고 있다.	여자가 머리를 하고 있다.	main-captions	0.500
한 남자가 차 안에 들어가고 있다.	노인이 빨간 차에 타고 있다.	main-captions	3.750
커다란 녹색 공이 감자를 넘어뜨린다.	커다란 녹색 공이 감자를 때린다.	main-captions	4.000
고양이가 키보드를 연주하고 있다.	고양이가 피아노를 치고 있다.	main-captions	3.000
두 마리의 개가 수영장에서 수영을 합니다.	개들이 수영장에서 수영하고 있다.	main-captions	4.200
그 남자는 양파를 자르기 위해 헬리콥터를 사용했다.	그 남자는 감자를 자르기 위해 기계를 사용했다.	main-captions	2.000
여자가 두부를 썰다.	여자가 두부를 자르고 있다.	main-captions	5.000
한 무리의 사슴이 길을 건너고 있다.	순록 무리가 길을 건너고 있다.	main-captions	3.000
사람이 말을 타고 있다.	남자가 말을 타고 있다.	main-captions	3.800
누군가가 동물에게 먹이를 주고 있다.	누군가 피아노를 치고 있다.	main-captions	0.000
누군가가 토르틸라를 썰고 있다.	누군가가 말을 타고 있다.	main-captions	0.000
누군가가 불임제를 섞고 있다.	누군가가 바느질하고 있다.	main-captions	0.250
수탉이 죽은 쥐를 쪼아 먹는다.	닭이 죽은 쥐를 쪼고 있다.	main-captions	4.000
한 여성이 캥거루를 들고 있다.	한 여성이 캥거루를 집어 들고 있다.	main-captions	3.250
남자가 개구리와 놀고 있다	고양이가 카메라로 놀고 있다.	main-captions	0.750
두 남자가 이야기를 하고 있다.	두 남자가 기타를 치고 있다.	main-captions	1.500
한 남자가 큰 빵 조각에 버터를 뿌린다.	한 남자가 마늘 빵에 버터를 바르고 있다.	main-captions	3.500
한 남자가 높은 전선을 가로질러 달리고 있다.	남자가 밧줄로 달리고 있다.	main-captions	3.000
남자가 잔디를 깎고 있다.	여자가 레몬을 자르고 있다.	main-captions	0.200
남자가 문을 열고 있다.	남자가 기타를 치고 있다.	main-captions	0.800
한 남자가 감자를 조각조각 자르고 있다.	남자가 감자를 자르고 있다.	main-captions	4.200
여자가 익힌 문어를 자르고 있다.	한 여성이 문어를 자르고 있다.	main-captions	3.800
남자가 판자를 뚫고 있다.	개가 물속을 달리고 있다.	main-captions	0.400
남자가 춤을 추고 있다.	남자가 빵을 먹고 있다.	main-captions	0.800
누군가 피아노를 치고 있다.	남자가 기타를 치고 있다.	main-captions	1.200
두 마리의 여우가 벽돌 테라스의 접시에서 먹고 있다.	여우는 접시에서 먹고 있다.	main-captions	2.800
소년이 키보드를 연주하고 있다.	한 소년이 피아노를 치고 있다.	main-captions	3.200
사람은 키보드를 친다.	누군가 키보드를 연주하고 있다.	main-captions	5.000
남자가 총을 쏘고 있다.	남자가 침을 뱉고 있다.	main-captions	0.000
누군가가 양파를 자르고 있다.	몇몇 사람들은 감자 껍질을 벗기고 있다.	main-captions	1.000
남자가 수영을 하고 있다.	한 여성이 고기를 자르고 있다.	main-captions	0.000
남자가 기타를 치고 있다.	한 남자가 어쿠스틱 기타를 연주한다.	main-captions	3.750
한 여성이 호박을 썰고 있다.	한 여성이 코끼리를 타고 있다.	main-captions	0.400
여자가 춤을 추고 있다.	여자가 반죽을 반죽하고 있다.	main-captions	0.400
여자가 그릇에 달걀을 깨고 있다.	한 여성이 선반 위에 꼬치를 놓고 있다.	main-captions	0.600
차가 도로를 지나고 있다.	차가 도로를 따라 운전하고 있다.	main-captions	4.000
누군가가 팬에 기름을 바르고 있다.	스모네가 누워 있다.	main-captions	0.400
남자가 기타를 치고 있다.	남자가 파스타를 뱉고 있다.	main-captions	0.400
한 여성이 보드카를 마시고 있다.	여자가 운동을 하고 있다.	main-captions	0.400
한 여성이 고기를 조각조각 자르고 있다.	여자가 고기를 자르고 있다.	main-captions	4.800
남자가 스테이크를 헹구고 있다.	남자가 기타를 치고 있다.	main-captions	0.600
남자가 물건을 팔고 있다.	남자가 집을 청소하고 있다.	main-captions	0.800
남자가 벽을 뛰어넘고 있다.	한 남자가 짧은 벽으로 뛰어내린다.	main-captions	3.200
육상선수들은 트랙을 돌아서 경주한다.	주자들은 경주에서 경쟁한다.	main-captions	3.200
한 남자가 축구공을 차고 있다.	남자가 그릇을 섞고 있다.	main-captions	0.600
여자가 뭔가를 튀기고 있다.	여자가 말을 타고 있다.	main-captions	0.600
고양이가 빨판을 핥고 있다.	한 여성이 오이를 자르고 있다.	main-captions	0.000
여자가 불가에 춤을 추고 있다.	한 여성이 목욕을 하고 있다.	main-captions	1.400
남자가 생선을 썰고 있다.	남자가 감자를 자르고 있다.	main-captions	2.200
버터가 팬에 녹고 있다.	남자가 팬에 버터를 녹이고 있다.	main-captions	3.600
세 소년이 춤을 추고 있다.	아이들이 춤을 추고 있다.	main-captions	3.111
한 여성이 남자와 게임을 하고 있다.	한 남자가 피아노를 치고 있다.	main-captions	0.600
남자가 하얀 차를 운전하고 있다.	한 남자가 인터뷰를 하고 있다.	main-captions	0.400
한 남자가 차를 몰았다.	남자가 차를 운전하고 있다.	main-captions	4.250
차가 공간에서 뒤로 물러난다.	차가 막힌 차선에서 후진하고 있다.	main-captions	3.000
한 남자가 피자에 치즈를 넣는다.	남자가 피자에 치즈를 뿌렸다.	main-captions	5.000
소년이 피아노를 치고 있다.	한 소년이 피아노를 친다.	main-captions	5.000
그 남자는 기타를 연주했다.	남자가 기타를 치고 있다.	main-captions	3.750
남자가 말을 타고 있다.	남자가 키보드를 연주하고 있다.	main-captions	0.200
한 남자가 밧줄을 타고 걷고 있다.	남자가 모패드를 타고 있다.	main-captions	0.400
한 소녀가 플루트를 연주하고 있다.	한 밴드가 무대에서 연주하고 있다.	main-captions	1.286
사람들은 기차에서 내려온다.	한 무리의 사람들이 기차에서 내린다.	main-captions	4.600
한 여성이 기계에 바느질하고 있다.	여자가 고기를 구우고 있다.	main-captions	0.600
한 개가 수영장을 들여다보고 있다.	개가 수영장을 돌아다니고 있다.	main-captions	2.000
남자가 빵 한 조각에 버터를 바르고 있다.	한 남자가 빵에 버터를 바르고 있다.	main-captions	5.000
한 남자가 토마토를 조각조각 자르고 있다.	한 여성이 채소를 자르고 있다.	main-captions	1.800
세 명의 십대 소녀들이 그 방에서 춤을 추었다.	일부 십대 소녀들이 카메라를 위해 춤을 추고 있다.	main-captions	2.400
사자가 걷고 있다.	사자가 펜으로 서성거리고 있다.	main-captions	2.400
차를 쏘는 남자.	남자가 감자를 자르고 있다.	main-captions	0.400
검은 말이 주위를 달리고 있다.	말이 달리고 있다.	main-captions	4.200
여자가 새우를 뜯고 있다.	남자가 비 속에서 춤을 추고 있다.	main-captions	0.000
남자가 말을 타고 있다.	한 여성이 냉동고를 씻고 있다.	main-captions	0.000
한 남자가 길을 걸어 내려간다.	한 남자가 꽉 끼는 밧줄을 가로질러 걸어간다.	main-captions	0.800
남자가 감자를 자르고 있다.	여자가 할레페노를 자르고 있다.	main-captions	1.400
개가 공을 향해 짖고 있다.	개는 테니스 공을 보고 헤엄친다.	main-captions	1.500
한 아이가 낚시대 위에서 빙빙 돌고 있는 물고기에게서 도망친다.	어린 아이가 낚싯대를 돌고 있다.	main-captions	2.500
한 남자가 황무지를 지나는 길을 걷고 있다.	한 남자가 길을 걷고 있다.	main-captions	2.500
한 노인이 연단에서 말하고 있다.	한 남자가 연단에서 연설을 하고 있다.	main-captions	3.500
느린 동작으로 말을 타는 남자	남자가 말을 타고 있다.	main-captions	3.400
사람이 부라타 치즈를 자르고 있다.	그 사람은 치즈를 썰고 있다.	main-captions	3.800
남자가 자동 소총을 쏘고 있다.	남자가 총을 쏘고 있다.	main-captions	3.800
남자가 칼등으로 마늘을 으깨고 있다.	한 여성이 칼로 고기를 자르고 있다.	main-captions	1.500
한 여성이 손톱에 에머리 판을 붙이고 있다.	한 여성이 아기에게 병을 먹이고 있다.	main-captions	0.500
남자가 스케이트보드를 타고 있다.	여자가 감자를 자르고 있다.	main-captions	0.000
한 여성이 샤워를 하고 있다.	남자가 흰 말을 타고 있다.	main-captions	0.000
남자가 춤을 추고 있다.	남자가 말을 타고 있다.	main-captions	0.800
남자가 보트를 노를 저고 있다.	남자가 총을 쏘고 있다.	main-captions	0.850
한 남자가 천장에 부착된 밧줄에서 흔들리고 있다.	남자가 밧줄을 타고 스윙하고 있다.	main-captions	3.400
한 여성이 해변에서 말을 타고 있다.	한 남자가 다른 남자를 등에 업고 있다.	main-captions	0.400
한 손에는 작은 동물이 쥐고 있다.	한 남자가 작은 원숭이를 과시한다.	main-captions	1.750
사람이 네모난 종이 조각을 접고 있다.	남자가 종이를 접고 있다.	main-captions	3.250
사람이 팬에서 고기를 튀기고 있다.	사람이 스컹크를 들고 있다.	main-captions	0.750
침팬지가 여자를 다치게 하고 있다.	남자가 차를 운전하고 있다.	main-captions	0.000
여자가 새우 껍질을 벗기고 있다.	남자가 여우원숭이를 들고 있다.	main-captions	0.000
두 얼룩말이 놀고 있다.	얼룩말은 사교를 하고 있다.	main-captions	4.250
한 여성이 버터를 썰고 있다.	여자가 두부를 썰다.	main-captions	1.800
몇몇 남자들이 기타를 치고 있다.	세 남자가 기타를 치고 함께 노래를 부르고 있다.	main-captions	3.200
코끼리들은 스스로에게 물을 뿌렸다.	코끼리들은 물을 뿌린다.	main-captions	3.600
한 개가 가게 카운터에 앉아 있었다.	개가 카운터에 서 있다.	main-captions	2.600
누군가가 파워 드릴로 나무 조각에 구멍을 뚫는다.	한 남자가 나무 조각에 구멍을 뚫는다.	main-captions	3.200
한 여성이 채소를 썰고 있다.	여자가 마늘을 썰고 있다.	main-captions	2.800
오소리가 구멍을 파고 있다.	오소리가 땅을 파고 있다.	main-captions	4.600
한 여성이 호수에서 수상 스키를 타고 있다.	남자가 플루트를 연주하고 있다.	main-captions	0.000
한 소녀가 바이올린을 연주하고 있다.	아기가 웃고 낄낄거리고 있다.	main-captions	0.250
헬리콥터가 헬기에 착륙하고 있다.	헬리콥터가 착륙한다.	main-captions	3.923
여자가 닭을 자르고 있다.	한 여성이 고기를 자르고 있다.	main-captions	2.750
여자가 오이를 자르고 있다.	남자가 기타를 치고 있다.	main-captions	0.000
한 여성이 사랑스러운 군중 앞에서 코끼리를 탄다.	한 여성이 코끼리를 탄다.	main-captions	3.000
강아지가 바닥을 따라 뒤로 미끄러져 가고 있다.	강아지가 뒤로 밀고 있다.	main-captions	3.800
한 여성이 마늘 정향을 쪼개고 있다.	한 여성이 마늘의 머리를 정향으로 부수고 있다.	main-captions	4.600
한 개가 수영장을 들여다보고 있다.	개 한 마리가 수영장 가장자리를 따라 걷고 있다.	main-captions	2.600
여자는 미용을 유리에 섞는다.	한 여성이 컵에 크림을 숟가락과 섞고 있다.	main-captions	3.600
남자가 그림을 그리고 있다.	사람이 그림을 그리고 있다.	main-captions	3.600
한 여성이 토마토를 따고 있다.	여자가 그릇에 반죽을 부어 넣고 있다.	main-captions	1.000
한 남자가 컴퓨터 모니터를 보고 있다.	한 남자가 노트북을 사용하고 있다.	main-captions	2.750
소년이 세발자전거를 타고 있다.	한 여성이 물 스쿠터를 타고 있다.	main-captions	1.250
두 남자가 타이어 롤링 경주에서 경쟁한다.	두 사람이 경주에서 트랙터 타이어를 뒤집었다.	main-captions	2.750
사람이 고기를 자르고 있다.	기계식 황소를 타는 사람	main-captions	0.000
한 남자가 바이올린을 연주하고 있다.	한 여성이 재봉틀을 사용하고 있다.	main-captions	0.000
아기가 문으로 기어 들어갔다.	아기가 바닥을 기어가고 있다.	main-captions	2.400
남자가 키보드를 치고 있다.	사람이 피아노를 치고 있다.	main-captions	2.200
한 남자가 피자 두 개를 냄새 맡고 있다.	여자가 남자에게 먹이를 주고 있다.	main-captions	0.200
원숭이가 개 꼬리를 당긴다.	원숭이가 동물원에서 개를 놀리고 있다.	main-captions	2.800
개가 나무 바닥에 등을 대고 누워 있다.	개가 바닥에 누워 있다.	main-captions	4.000
여자가 팬에서 뭔가를 튀기고 있다.	남자가 기타를 치고 있다.	main-captions	0.000
한 남자가 양념을 물 그릇에 담는다.	그 남자는 그릇에 양념을 넣어 물속에 넣었다.	main-captions	5.000
한 노파가 프라이팬에 기름을 부어 넣고 있다.	묶인 남자가 물에 들어가고 있다.	main-captions	0.000
한 여성이 양파를 자르고 있다.	한 여성이 양파의 절반을 부분적으로 자르고 있다.	main-captions	3.200
그 여자는 캥거루를 집어 들었다.	한 여성이 캥거루를 들고 있다.	main-captions	3.500
깡통을 물어뜯는 개	개는 음식 캔을 연다.	main-captions	1.750
한 여성이 물고기를 낚아채고 있다.	한 남자가 물고기를 잡는다.	main-captions	1.250
남자가 풀을 깎고 있다.	남자가 콘크리트를 깨고 있다.	main-captions	0.833
고양이가 TV를 보고 있다.	남자가 휴가를 갈고 있다.	main-captions	0.000
소년은 개집 문에 갇혀 있다.	아이는 개집에 갇혀 있다.	main-captions	3.750
사람들은 수영장으로 휙 들어간다.	남자들이 수영장에 빠지고 있다.	main-captions	2.750
한 여성이 수중에서 수영을 한다.	여자가 수영을 하고 있다.	main-captions	3.800
남자가 기타를 치고 있다.	여자가 춤을 추고 있다.	main-captions	0.200
비행기가 공중에서 날고 있다.	남아프리카공항의 비행기가 푸른 하늘을 날고 있다.	main-captions	3.400
곰이 두 마리의 개로부터 달려오고 있다.	곰이 늑대와 싸우고 있다.	main-captions	1.400
